day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,V,T
86,8.1,14,2,2.6897386262518186,48.88,63,33,5.888903435570105,443.02,455,425,6.267799145030814,0.998003838771593,1.0,0.9952015355086372,0.0011860977247559988,0.9414476826157698,1.0,0.8752253898635478,0.02759673068487177,0.03,5
87,7.72,14,1,2.733316741280319,47.28,61,31,6.067780416566956,445.0,457,427,6.20072411834592,0.9982341650671784,1.0,0.995361484325016,0.0010924800232261253,0.9453964915172857,1.0,0.8821698343079922,0.026607032787629287,0.03,5
88,7.56,14,1,2.7565136217582484,45.8,62,29,5.865847190756516,446.64,459,429,6.093690279665496,0.9983269353806782,1.0,0.995361484325016,0.0011082568445675903,0.9475750574033894,1.0,0.8821698343079922,0.02795242436257819,0.03,5
89,7.22,13,1,2.7277111583276747,44.14,60,27,6.2857467531629005,448.64,461,429,6.413506156891861,0.9985156749840052,1.0,0.9952015355086372,0.0011020348136146446,0.9514991214140887,1.0,0.8853992826818914,0.02909512651684841,0.03,5
90,7.02,12,1,2.6224307154132513,42.34,57,26,5.9679757618373035,450.64,462,433,6.153678176671313,0.9986308381317979,1.0,0.9958413307741523,0.0010137499441910094,0.9538893432055537,1.0,0.8908340652905871,0.02929414010342691,0.03,5
91,6.62,12,1,2.5942636877604897,40.86,55,24,5.986413187973484,452.52,464,437,5.7966915264710455,0.9988611644273833,1.0,0.9961612284069098,0.0008746681279788092,0.9593958445416672,1.0,0.9045092764435436,0.02587447249121391,0.03,5
92,6.38,12,1,2.602118446220937,39.32,53,23,5.719426259223373,454.3,465,441,5.414455330927778,0.9989731285988483,1.0,0.9963211772232885,0.0008020843974245906,0.962429822896628,1.0,0.9170833333333334,0.023389949360454115,0.03,5
93,6.1,12,1,2.509166867178614,38.04,52,23,5.558446413397564,455.86,466,442,5.21383559701042,0.9990722968650032,1.0,0.9974408189379399,0.0006801424031686946,0.9643841321789268,1.0,0.9170833333333334,0.022006264517742923,0.03,5
94,5.94,12,1,2.4694872639758185,36.62,51,23,5.558189398334237,457.44,468,443,5.222244415449536,0.9991586692258477,1.0,0.9974408189379399,0.0006581465320920478,0.9673685600450517,1.0,0.918754290688558,0.021045944103714492,0.03,5
95,5.74,12,1,2.431175074917057,35.54,49,21,5.238047618831166,458.72,468,445,4.977664397801731,0.9992226487523992,1.0,0.9976007677543186,0.0006348882159867572,0.9688853502713412,1.0,0.9235619829962503,0.020892729618868587,0.03,5
96,5.44,12,1,2.408827303812342,34.4,47,20,5.268311118453078,460.16,469,447,4.933682649886988,0.9993122200895713,1.0,0.9976007677543186,0.000563654893681749,0.9703614776446474,1.0,0.9222085928120409,0.01991478286303743,0.03,5
97,5.2,11,1,2.294625486315573,33.04,44,20,5.058676119463732,461.76,472,452,4.710214692450816,0.9993761996161229,1.0,0.9977607165706974,0.0005331899227482996,0.9718455657200542,1.0,0.9196600249473813,0.019369679053640475,0.03,5
98,5.02,11,1,2.152265062198238,31.68,42,19,5.132688359516713,463.3,473,452,4.790509324887779,0.999443378119002,1.0,0.9980806142034548,0.00047408856486966705,0.9733114642337334,1.0,0.9196600249473813,0.019338354086255744,0.03,5
99,4.86,11,1,2.1093571900230748,30.6,41,17,5.198115828188643,464.54,473,453,4.73893986250175,0.9994977607165707,1.0,0.9982405630198337,0.0004454369269729759,0.9748324828699387,1.0,0.9196600249473813,0.020109973415394257,0.03,5
100,4.7,11,1,2.0824828195876077,29.56,40,15,5.326713578842061,465.74,476,454,4.889847875435188,0.9995393474088291,1.0,0.9985604606525912,0.00041964135940952797,0.976315972822989,1.0,0.9336460389333952,0.01939395035940635,0.03,5
101,4.48,10,1,1.9403344967256742,28.66,40,16,5.053226893858649,466.86,476,455,4.607048725505696,0.9996065259117083,1.0,0.9985604606525912,0.0003528209235584657,0.9782496654324365,1.0,0.9210526315789473,0.019252811888761483,0.03,5
102,4.34,8,1,1.9017714620525652,27.8,37,16,4.7680912195081815,467.86,476,458,4.38462061747464,0.9996481126039667,1.0,0.9985604606525912,0.0003495352010963399,0.9802906287360131,1.0,0.9358333333333333,0.018636098706801035,0.03,5
103,4.32,8,1,1.86744395867065,26.84,37,16,4.705012524653133,468.84,476,458,4.400185524845653,0.9996641074856046,1.0,0.9985604606525912,0.00033465447664467077,0.9809543194921758,1.0,0.9358333333333333,0.01819223376885511,0.03,5
104,4.18,8,1,1.8810548495295865,25.76,38,15,4.975696033763332,470.06,477,458,4.573258562289148,0.9996960972488803,1.0,0.9985604606525912,0.00031037102886404975,0.9809981132850316,1.0,0.9277777777777777,0.018927316245901327,0.03,5
105,4.02,8,1,1.8679902984496575,24.92,38,13,4.948056720180404,471.06,480,459,4.528413697117888,0.9997312859884837,1.0,0.9985604606525912,0.0003123664654169818,0.9829569585752468,1.0,0.9277777777777777,0.019411103219377886,0.03,5
106,4.0,8,1,1.8294640678379563,23.94,36,12,5.024064538776938,472.06,481,461,4.528413697117894,0.9997568777991043,1.0,0.9985604606525912,0.0003086673026371833,0.9844617315097847,1.0,0.9277777777777777,0.018878124278887548,0.03,5
107,3.9,8,1,1.8098370656171325,23.02,35,10,5.112968705125412,473.08,483,463,4.615148083944288,0.9997728726807422,1.0,0.9985604606525912,0.0002998294874737894,0.9845005149080375,1.0,0.893939393939394,0.021349552351450928,0.03,5
108,3.84,8,1,1.8110770276274832,22.36,35,9,5.025486066449855,473.8,484,463,4.49489506358636,0.9997856685860524,1.0,0.9985604606525912,0.0002919239167927948,0.984970057953512,1.0,0.893939393939394,0.02122593820309176,0.03,5
109,3.64,8,1,1.7929567416842553,21.58,32,9,4.823793071000946,474.78,484,466,4.181055427735427,0.9998144593730006,1.0,0.9985604606525912,0.00029147644125950044,0.987484873251555,1.0,0.893939393939394,0.020805897645786997,0.03,5
110,3.6,8,1,1.7842851423995423,20.78,30,9,4.700369069313079,475.62,484,467,4.080266097765126,0.9998368522072937,1.0,0.9985604606525912,0.00028445974665816686,0.9889145990307117,1.0,0.893939393939394,0.020278161434055746,0.03,5
111,3.56,8,1,1.7861142409243183,19.96,28,7,4.5218742727740135,476.48,486,469,3.9239713327709365,0.999849648112604,1.0,0.9985604606525912,0.00026134853081861807,0.9894666829058179,1.0,0.9217171717171717,0.018111434379593325,0.03,5
112,3.52,8,1,1.764039890335215,19.04,26,7,4.198930864894451,477.44,486,470,3.687596418663337,0.9998624440179142,1.0,0.9985604606525912,0.00025446546741526686,0.9900111451671684,1.0,0.9217171717171717,0.018103274626428308,0.03,5
113,3.44,8,1,1.7631141280618872,18.3,26,7,4.111953704178359,478.26,486,470,3.740620924119308,0.999872040946897,1.0,0.9985604606525912,0.00025030735650542795,0.9909407663215035,1.0,0.9217171717171717,0.017058427348345624,0.03,5
