day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,V,T
166,4.99,499,0,49.900000000000006,0.76,6,0,0.9859620743827888,494.25,500,1,49.83292793997465,0.0743,14
167,4.99,499,0,49.900000000000006,0.73,6,0,0.9832434473555757,494.28,500,1,49.835908517631914,0.0743,14
168,4.99,499,0,49.900000000000006,0.69,5,0,0.895499409223251,494.32,500,1,49.83830014773941,0.0743,14
169,4.99,499,0,49.900000000000006,0.68,5,0,0.8862587350511957,494.33,500,1,49.83914631141371,0.0743,14
170,4.99,499,0,49.900000000000006,0.61,4,0,0.8274946977156257,494.4,500,1,49.84521496137273,0.0743,14
171,4.99,499,0,49.900000000000006,0.6,4,0,0.8040302522073698,494.41,500,1,49.84584215155743,0.0743,14
172,4.99,499,0,49.900000000000006,0.58,3,0,0.7677857445244405,494.43,500,1,49.84729306855715,0.0743,14
173,4.99,499,0,49.900000000000006,0.56,3,0,0.7563869460277669,494.45,500,1,49.84914110280006,0.0743,14
174,4.99,499,0,49.900000000000006,0.54,3,0,0.7166138105949073,494.47,500,1,49.8505757137257,0.0743,14
175,4.99,499,0,49.900000000000006,0.53,3,0,0.7028800779936816,494.48,500,1,49.85139127568269,0.0743,14
176,4.99,499,0,49.900000000000006,0.52,3,0,0.703239258393226,494.49,500,1,49.85240741681916,0.0743,14
177,4.99,499,0,49.900000000000006,0.49,3,0,0.6889459083603477,494.52,500,1,49.85524095323431,0.0743,14
178,4.99,499,0,49.900000000000006,0.46,3,0,0.6878454136877798,494.55,500,1,49.85825868996992,0.0743,14
179,4.99,499,0,49.900000000000006,0.44,3,0,0.6863753427324666,494.57,500,1,49.86026028367237,0.0743,14
180,4.99,499,0,49.900000000000006,0.4,3,0,0.6666666666666665,494.61,500,1,49.86403635098266,0.0743,14
181,4.99,499,0,49.900000000000006,0.4,3,0,0.6666666666666665,494.61,500,1,49.86403635098266,0.0743,14
182,4.99,499,0,49.900000000000006,0.38,3,0,0.6479181891241977,494.63,500,1,49.8658108417891,0.0743,14
183,4.99,499,0,49.900000000000006,0.37,3,0,0.645966506308746,494.64,500,1,49.866796305130485,0.0743,14
184,4.99,499,0,49.900000000000006,0.36,3,0,0.6438520439863918,494.65,500,1,49.86777972343921,0.0743,14
185,4.99,499,0,49.900000000000006,0.35,2,0,0.6092717958449424,494.66,500,1,49.868355991479504,0.0743,14
186,4.99,499,0,49.900000000000006,0.35,2,0,0.6092717958449424,494.66,500,1,49.868355991479504,0.0743,14
187,4.99,499,0,49.900000000000006,0.35,2,0,0.6092717958449424,494.66,500,1,49.868355991479504,0.0743,14
188,4.99,499,0,49.900000000000006,0.34,2,0,0.5898125023079691,494.67,500,1,49.86913277810638,0.0743,14
189,4.99,499,0,49.900000000000006,0.32,2,0,0.5839607015973772,494.69,500,1,49.871085325217756,0.0743,14
190,4.99,499,0,49.900000000000006,0.31,2,0,0.5807518637703432,494.7,500,1,49.87205853202993,0.0743,14
191,4.99,499,0,49.900000000000006,0.31,2,0,0.5807518637703432,494.7,500,1,49.87205853202993,0.0743,14
192,4.99,499,0,49.900000000000006,0.3,2,0,0.5773502691896257,494.71,500,1,49.87302969450611,0.0743,14
193,4.99,499,0,49.900000000000006,0.27,2,0,0.5478147589295219,494.74,500,1,49.875728393962156,0.0743,14
194,4.99,499,0,49.900000000000006,0.25,2,0,0.5388914922357195,494.76,500,1,49.877652330680135,0.0743,14
195,4.99,499,0,49.900000000000006,0.24,2,0,0.5148305595538255,494.77,500,1,49.87840872126592,0.0743,14
196,4.99,499,0,49.900000000000006,0.22,2,0,0.4836728170358491,494.79,500,1,49.88011789898016,0.0743,14
197,4.99,499,0,49.900000000000006,0.21,2,0,0.47768380565162366,494.8,500,1,49.88107067937908,0.0743,14
198,4.99,499,0,49.900000000000006,0.19,2,0,0.46482319871173167,494.82,500,1,49.88297011075731,0.0743,14
199,4.99,499,0,49.900000000000006,0.19,2,0,0.46482319871173167,494.82,500,1,49.88297011075731,0.0743,14
200,4.99,499,0,49.900000000000006,0.18,2,0,0.43531017619043727,494.83,500,1,49.88371427124236,0.0743,14
1,497.77,499,494,1.0622541307916118,2.14,6,1,1.0638219642953286,0.09,1,0,0.28762349126466136,0.0743,16
2,495.02,499,486,2.8532455381565094,4.75,14,1,2.786602145113563,0.23,2,0,0.44619604333847385,0.0743,16
3,489.44,498,472,6.155099716921933,9.98,26,1,5.978040623563017,0.58,3,0,0.713222874483754,0.0743,16
