day,s_mean,s_max,s_min,s_std,i_mean,i_max,i_min,i_std,r_mean,r_max,r_min,r_std,edgecount1_mean,edgecount1_max,edgecount1_min,edgecount1_std,suscedgecount1_mean,suscedgecount1_max,suscedgecount1_min,suscedgecount1_std,edgecount2_mean,edgecount2_max,edgecount2_min,edgecount2_std,suscedgecount2_mean,suscedgecount2_max,suscedgecount2_min,suscedgecount2_std
123,0.08419999999999991,0.998,0.0,0.27222327270841784,0.16899999999999998,0.272,0.0,0.056932828304726894,0.7467999999999999,0.858,0.002,0.22361555931407573,0.9995265743374132,1.0,0.9980666988883519,0.00047148225099291326,0.9435223527032227,1.0,0.8666666666666667,0.0371774897093462,0.9992618870422844,1.0,0.9959661153691004,0.000885783701774153,0.9304555586600272,1.0,0.7523809523809524,0.06686151734539748
124,0.08399999999999991,0.998,0.0,0.272282566313687,0.16536,0.266,0.0,0.055533685309743605,0.7506399999999998,0.862,0.002,0.22462465381618466,0.999571446187967,1.0,0.9980666988883519,0.0004400777334358751,0.9460396058616185,1.0,0.88,0.03709201619095529,0.9993016853165493,1.0,0.9959661153691004,0.000864932375696069,0.9305812744125088,1.0,0.7142857142857142,0.07240988119256375
125,0.0837999999999999,0.998,0.0,0.2723422966243258,0.16248000000000007,0.258,0.0,0.05432864467896343,0.7537200000000003,0.864,0.002,0.22541825433570173,0.9996167062424653,1.0,0.9985308521057786,0.00040249516388721755,0.949283818179265,1.0,0.88,0.03613935575641868,0.9993971778384789,1.0,0.9971762807583703,0.000757939552184092,0.9373539013154532,1.0,0.7142857142857142,0.06982900068523472
126,0.0837199999999999,0.998,0.0,0.2723659033471746,0.15888000000000005,0.258,0.0,0.05342346805267803,0.7574000000000001,0.868,0.002,0.22649674503225,0.9996296728059285,1.0,0.9985372988785958,0.00039463958929601326,0.9497921188555241,1.0,0.88,0.03672214230272461,0.9994367103311752,1.0,0.9971762807583703,0.0007270630235908576,0.9389596598979558,1.0,0.7142857142857142,0.06871287212971575
127,0.08367999999999992,0.998,0.0,0.27237769695024294,0.15604000000000004,0.252,0.0,0.052098008109519804,0.7602800000000002,0.868,0.002,0.22720772119676863,0.9996361656525603,1.0,0.9985372988785958,0.00039403108744128927,0.9498932707108861,1.0,0.88,0.03728863377167523,0.9994688210993102,1.0,0.9971762807583703,0.0007014379859194043,0.9430423472364571,1.0,0.7142857142857142,0.06849042904488745
128,0.08367999999999992,0.998,0.0,0.27237769695024294,0.15268000000000004,0.25,0.0,0.05122755954701392,0.7636399999999999,0.874,0.002,0.22821103373493434,0.9996554736600031,1.0,0.9985372988785958,0.0003890290356724708,0.9519382017258029,1.0,0.88,0.03765869229567459,0.9994929890299082,1.0,0.9971762807583703,0.0006981500801845981,0.9470525489210773,1.0,0.7523809523809524,0.06456899255882623
129,0.08359999999999992,0.998,0.0,0.27240216367626413,0.14988,0.242,0.0,0.050422557310337665,0.76652,0.88,0.002,0.2290569165522145,0.999684331344864,1.0,0.9985372988785958,0.0003877086332460775,0.9548726428543485,1.0,0.8823529411764706,0.03696163352778402,0.9994929890299082,1.0,0.9971762807583703,0.0006981500801845981,0.94579189532396,1.0,0.7523809523809524,0.06481386494099627
130,0.08355999999999993,0.998,0.0,0.27241423739352144,0.14696000000000004,0.236,0.0,0.049597959141686555,0.76948,0.88,0.002,0.2299259188592389,0.9996972187927856,1.0,0.9985372988785958,0.00038456271780328954,0.9565255119889178,1.0,0.8846153846153846,0.03525829608828103,0.9995092491925098,1.0,0.9971762807583703,0.0006906442893551981,0.9468500963821613,1.0,0.7523809523809524,0.06346766716991006
131,0.08343999999999992,0.998,0.0,0.27244742312480574,0.14432000000000003,0.23,0.0,0.04851654041538361,0.7722400000000001,0.882,0.002,0.2306486470095737,0.9997167065679438,1.0,0.9985372988785958,0.00036990799943330537,0.95839177042751,1.0,0.8846153846153846,0.03578445935482519,0.9995489618696246,1.0,0.9975796692214602,0.0006450695275017948,0.9501108428373523,1.0,0.7523809523809524,0.06338878053145633
132,0.08323999999999993,0.998,0.0,0.2725052001001681,0.14199999999999996,0.226,0.0,0.047896146153177395,0.77476,0.884,0.002,0.23137032423968187,0.9997358979990301,1.0,0.9986998212254184,0.00036155809165860534,0.9605823366752047,1.0,0.8846153846153846,0.03491976607931386,0.9996297140701522,1.0,0.9979943842759728,0.0005510182899597577,0.9559468800560383,1.0,0.7857142857142857,0.05736531586302886
