day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,V,T
169,9.98,499,0,70.21194177400855,0.52,2,0,0.6587407638361193,489.5,500,1,70.14033551863483,0.03,20
170,9.98,499,0,70.21194177400855,0.48,2,0,0.6432242017658957,489.54,500,1,70.1459402196088,0.03,20
171,9.98,499,0,70.21194177400855,0.47,2,0,0.6428314889862843,489.55,500,1,70.1473737242104,0.03,20
172,9.98,499,0,70.21194177400855,0.47,2,0,0.6428314889862843,489.55,500,1,70.1473737242104,0.03,20
173,9.98,499,0,70.21194177400855,0.44,2,0,0.6247423711443225,489.58,500,1,70.15152143464857,0.03,20
174,9.98,499,0,70.21194177400855,0.42,2,0,0.6224746962525844,489.6,500,1,70.15437522803808,0.03,20
175,9.98,499,0,70.21194177400855,0.41,2,0,0.604611904907235,489.61,500,1,70.1556559416706,0.03,20
176,9.98,499,0,70.21194177400855,0.4,2,0,0.6030226891555273,489.62,500,1,70.15707916935938,0.03,20
177,9.98,499,0,70.21194177400855,0.4,2,0,0.6030226891555273,489.62,500,1,70.15707916935938,0.03,20
178,9.98,499,0,70.21194177400855,0.39,2,0,0.6012613005301036,489.63,500,1,70.15850092843527,0.03,20
179,9.98,499,0,70.21194177400855,0.37,2,0,0.580055727033745,489.65,500,1,70.16119607263998,0.03,20
180,9.98,499,0,70.21194177400855,0.35,2,0,0.5573204290227127,489.67,500,1,70.16388535479493,0.03,20
181,9.98,499,0,70.21194177400855,0.32,2,0,0.5295319068800673,489.7,500,1,70.16798026554173,0.03,20
182,9.98,499,0,70.21194177400855,0.29,2,0,0.49838121792844325,489.73,500,1,70.17206198216128,0.03,20
183,9.98,499,0,70.21194177400855,0.27,2,0,0.4682872294787989,489.75,500,1,70.1747278173733,0.03,20
184,9.98,499,0,70.21194177400855,0.26,2,0,0.4631905164675272,489.76,500,1,70.17613050695581,0.03,20
185,9.98,499,0,70.21194177400855,0.25,2,0,0.4578165130223676,489.77,500,1,70.17753172915076,0.03,20
186,9.98,499,0,70.21194177400855,0.23,2,0,0.4461960433384737,489.79,500,1,70.1803297717294,0.03,20
187,9.98,499,0,70.21194177400855,0.23,2,0,0.4461960433384737,489.79,500,1,70.1803297717294,0.03,20
188,9.98,499,0,70.21194177400855,0.23,2,0,0.4461960433384737,489.79,500,1,70.1803297717294,0.03,20
189,9.98,499,0,70.21194177400855,0.23,2,0,0.4461960433384737,489.79,500,1,70.1803297717294,0.03,20
190,9.98,499,0,70.21194177400855,0.21,2,0,0.43333333333333324,489.81,500,1,70.18312194581122,0.03,20
191,9.98,499,0,70.21194177400855,0.21,2,0,0.43333333333333324,489.81,500,1,70.18312194581122,0.03,20
