day,L1_mean,L1_max,L1_min,L1_std,L2_mean,L2_max,L2_min,L2_std
185,21.63796,42,5,4.78411983028249,9.92932,10,0,0.8372528753579148
186,21.63536,44,5,4.734192029625206,9.93024,10,0,0.8313129288345159
187,21.63252,40,6,4.769770275174603,9.93292,10,0,0.8157738001895641
188,21.63904,43,6,4.765616048555831,9.93532,10,0,0.8011255642449494
189,21.63648,44,5,4.75638078121646,9.9368,10,0,0.7924839943085578
190,21.6328,41,5,4.755770058986668,9.938,10,0,0.7849717493170635
191,21.62724,42,6,4.768085503425321,9.93852,10,0,0.7811559497211287
192,21.6348,43,6,4.781056713753988,9.9408,10,0,0.7671498554754682
193,21.63108,44,5,4.7563224173427905,9.94024,10,0,0.7696573505771844
194,21.63196,46,3,4.766413253822224,9.94252,10,0,0.7554329068521349
195,21.64436,41,6,4.7562995159896655,9.9468,10,0,0.7274551035198705
196,21.63736,43,5,4.82080302813477,9.94692,10,0,0.7260603281711585
197,21.64392,41,4,4.7586335031511835,9.94772,10,0,0.7205883509347472
198,21.638,43,4,4.778638866411288,9.94812,10,0,0.717836386067944
199,21.65336,43,6,4.747144628688373,9.9504,10,0,0.7025379579661839
