day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std
62,15.535,0,499,85.24006168215676,68.01,0,93,14.434391510952487,416.455,1,451,73.68797434326763,0.9998965461062235,0.9991854024112089,1.0,0.00018200487956901453,0.9474667047003694,0.8263367352302913,1.0,0.045942032442786815
63,15.5,0,499,85.24619975614351,65.505,0,91,13.993895833648871,418.995,1,453,74.120877608724,0.9999071358748778,0.9991854024112089,1.0,0.00017477659850239556,0.9500778465403781,0.8263367352302913,1.0,0.04607810852330554
64,15.48,0,499,85.24961633595272,62.955,0,86,13.594374205907798,421.565,1,454,74.5645703451295,0.9999144672531769,0.9991854024112089,1.0,0.00017047090932001765,0.9529454776581692,0.8263367352302913,1.0,0.04713958005477613
65,15.44,0,499,85.25643493890924,60.355,0,83,13.121732902778476,424.205,1,457,75.00990202639949,0.9999291300097752,0.9991854024112089,1.0,0.000152847326704914,0.9573099457916836,0.8263367352302913,1.0,0.0465259490893296
66,15.42,0,499,85.25995484104766,57.7,0,80,12.691547458226758,426.88,1,459,75.46962249539868,0.9999413489736071,0.9991854024112089,1.0,0.00013372991801076267,0.9626672218546792,0.8753168557317719,1.0,0.04157810222109855
67,15.395,0,499,85.26428894824166,55.655,0,77,12.342514464912847,428.95,1,460,75.82283966639194,0.9999470511567286,0.9991854024112089,1.0,0.00012644768648035245,0.9640156836295528,0.8753168557317719,1.0,0.040999441092001314
68,15.385,0,499,85.26598510590492,53.53,0,73,11.939087446083395,431.085,1,462,76.1816644936636,0.9999478657543173,0.9991854024112089,1.0,0.00012626031541998,0.964207679295711,0.8753168557317719,1.0,0.04124966734906355
69,15.365,0,499,85.26937378407115,51.285,0,72,11.567315546172484,433.35,1,466,76.56945807270507,0.9999494949494949,0.9991854024112089,1.0,0.00012480466335327715,0.9634658187224785,0.8753168557317719,1.0,0.04159748634505207
70,15.345,0,499,85.27269868312787,49.27,0,71,11.176838038672367,435.385,1,466,76.90950614636913,0.9999560117302053,0.999348321928967,1.0,0.00011162629471938451,0.9658663916422922,0.8753168557317719,1.0,0.041152837642556124
71,15.315,0,499,85.27794211905152,47.26,0,65,10.892918726951002,437.425,1,468,77.26606368898281,0.9999666014988595,0.999348321928967,1.0,9.974736614297937e-05,0.9723447780003454,0.8753168557317719,1.0,0.04002613289983277
72,15.305,0,499,85.27968750237369,45.39,0,64,10.553900895905885,439.305,1,469,77.58264826336999,0.999972303681981,0.9995112414467253,1.0,8.659483685348865e-05,0.975614534276292,0.8753168557317719,1.0,0.03766839703302078
73,15.3,0,499,85.28050081405173,43.435,0,63,10.20078699299137,441.265,1,471,77.91533076900991,0.9999755620723363,0.9995112414467253,1.0,7.959639205990395e-05,0.9776685734271052,0.8753168557317719,1.0,0.03716641553492607
74,15.285,0,499,85.2831157036409,41.665,0,60,9.91485231773081,443.05,1,474,78.2212909108434,0.9999771912675139,0.9995112414467253,1.0,7.667739864958854e-05,0.9785141469383668,0.8753168557317719,1.0,0.03635162855286921
75,15.265,0,499,85.28659797394809,40.02,0,58,9.565410886477157,444.715,1,475,78.49625523187163,0.999980449657869,0.9995112414467253,1.0,7.405819632846464e-05,0.9803213055723027,0.8753168557317719,1.0,0.036718939863175135
76,15.26,0,499,85.28746778281098,38.57,0,58,9.29986761671596,446.17,1,475,78.74340428628271,0.9999812642554577,0.9995112414467253,1.0,7.152495137671709e-05,0.9802998208332439,0.8753168557317719,1.0,0.03688838530251411
77,15.235,0,499,85.29169444150769,37.09,0,54,9.032153618876004,447.675,1,476,78.99831036295019,0.9999853372434018,0.9995112414467253,1.0,6.36561637826988e-05,0.9844428611512354,0.8753168557317719,1.0,0.032205865698855696
78,15.23,0,499,85.2925624309069,35.59,0,53,8.69135190807217,449.18,1,477,79.24618215999224,0.9999869664385794,0.9995112414467253,1.0,5.969869045653106e-05,0.9859682340386086,0.8823529411764706,1.0,0.029163227921101417
79,15.225,0,499,85.29337120113303,34.405,0,52,8.518438470156914,450.37,1,479,79.45292275727412,0.9999894102313458,0.9996741609644836,1.0,4.920901866288396e-05,0.9869054510306684,0.8823529411764706,1.0,0.028218778079980435
80,15.22,0,499,85.294238584317,33.04,0,52,8.255249586090248,451.74,1,480,79.68337090001873,0.9999894102313458,0.9996741609644836,1.0,4.920901866288396e-05,0.9866326479271407,0.8823529411764706,1.0,0.02845202512980684
